Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP
2023-01-01 00:45:00,2023-01-01 01:00:00,2023-01-01,1,114.41,114.41,114.41
2023-01-01 01:45:00,2023-01-01 02:00:00,2023-01-01,2,104.2812,104.2812,104.2812
2023-01-01 02:45:00,2023-01-01 03:00:00,2023-01-01,3,99.1024,99.1024,99.1024
2023-01-01 03:45:00,2023-01-01 04:00:00,2023-01-01,4,104.07715,104.07715,104.07715
2023-01-01 04:45:00,2023-01-01 05:00:00,2023-01-01,5,109.1288,109.1288,109.1288
2023-01-01 05:45:00,2023-01-01 06:00:00,2023-01-01,6,112.14,112.14,112.14
2023-01-01 06:45:00,2023-01-01 07:00:00,2023-01-01,7,114.41,114.41,114.41
2023-01-01 07:45:00,2023-01-01 08:00:00,2023-01-01,8,100.2976,100.2976,100.2976
2023-01-01 08:45:00,2023-01-01 09:00:00,2023-01-01,9,108.19774,102.59259,103.22734
2023-01-01 09:45:00,2023-01-01 10:00:00,2023-01-01,10,98.95501,94.5603,94.29366
2023-01-01 10:45:00,2023-01-01 11:00:00,2023-01-01,11,84.31107,81.44087,80.57727
2023-01-01 11:45:00,2023-01-01 12:00:00,2023-01-01,12,66.64019,64.43112,63.56089
2023-01-01 12:45:00,2023-01-01 13:00:00,2023-01-01,13,59.29562,57.31255,56.56815
2023-01-01 13:45:00,2023-01-01 14:00:00,2023-01-01,14,78.12043,75.33126,74.31274
2023-01-01 14:45:00,2023-01-01 15:00:00,2023-01-01,15,99.1841,96.85036,94.82845
2023-01-01 15:45:00,2023-01-01 16:00:00,2023-01-01,16,145.0,145.0,145.0
2023-01-01 16:45:00,2023-01-01 17:00:00,2023-01-01,17,197.90385,198.31393,195.4229
2023-01-01 17:45:00,2023-01-01 18:00:00,2023-01-01,18,188.69846,188.67888,186.03467
2023-01-01 18:45:00,2023-01-01 19:00:00,2023-01-01,19,143.88486,144.81361,142.5516
2023-01-01 19:45:00,2023-01-01 20:00:00,2023-01-01,20,135.63287,135.78758,134.35306
2023-01-01 20:45:00,2023-01-01 21:00:00,2023-01-01,21,125.31353,126.25064,124.51958
2023-01-01 21:45:00,2023-01-01 22:00:00,2023-01-01,22,122.65643,122.6311,121.56739
2023-01-01 22:45:00,2023-01-01 23:00:00,2023-01-01,23,124.34614,137.63701,135.22346
2023-01-01 23:45:00,2023-01-02 00:00:00,2023-01-01,24,110.09199,110.37563,109.2766
2023-01-02 00:45:00,2023-01-02 01:00:00,2023-01-02,1,128.30968,128.31007,128.31001
2023-01-02 01:45:00,2023-01-02 02:00:00,2023-01-02,2,121.60898,130.5073,129.49034
2023-01-02 02:45:00,2023-01-02 03:00:00,2023-01-02,3,131.96481,131.96481,131.96481
2023-01-02 03:45:00,2023-01-02 04:00:00,2023-01-02,4,151.1112,151.1112,151.1112
2023-01-02 04:45:00,2023-01-02 05:00:00,2023-01-02,5,188.6024,188.6024,188.6024
2023-01-02 05:45:00,2023-01-02 06:00:00,2023-01-02,6,193.7112,193.7112,193.7112
2023-01-02 06:45:00,2023-01-02 07:00:00,2023-01-02,7,213.3836,213.3836,213.3836
2023-01-02 07:45:00,2023-01-02 08:00:00,2023-01-02,8,191.2312,191.2312,191.2312
2023-01-02 08:45:00,2023-01-02 09:00:00,2023-01-02,9,132.97043,125.88044,127.22143
2023-01-02 09:45:00,2023-01-02 10:00:00,2023-01-02,10,141.42561,129.22778,132.02774
2023-01-02 10:45:00,2023-01-02 11:00:00,2023-01-02,11,177.49643,140.59863,134.01118
2023-01-02 11:45:00,2023-01-02 12:00:00,2023-01-02,12,170.12756,150.14067,156.2043
2023-01-02 12:45:00,2023-01-02 13:00:00,2023-01-02,13,178.61758,131.56113,129.36589
2023-01-02 13:45:00,2023-01-02 14:00:00,2023-01-02,14,186.30272,168.70898,173.99261
2023-01-02 14:45:00,2023-01-02 15:00:00,2023-01-02,15,211.10054,197.35701,201.12064
2023-01-02 15:45:00,2023-01-02 16:00:00,2023-01-02,16,244.8792,241.99826,241.29066
2023-01-02 16:45:00,2023-01-02 17:00:00,2023-01-02,17,290.018,293.0157,289.20047
2023-01-02 17:45:00,2023-01-02 18:00:00,2023-01-02,18,248.60829,256.26465,249.71333
2023-01-02 18:45:00,2023-01-02 19:00:00,2023-01-02,19,235.30244,244.74753,238.00104
2023-01-02 19:45:00,2023-01-02 20:00:00,2023-01-02,20,185.9884,193.90994,188.26018
2023-01-02 20:45:00,2023-01-02 21:00:00,2023-01-02,21,154.54013,161.90154,156.76337
2023-01-02 21:45:00,2023-01-02 22:00:00,2023-01-02,22,151.55238,154.71402,151.96545
2023-01-02 22:45:00,2023-01-02 23:00:00,2023-01-02,23,150.0,150.0,150.0
2023-01-02 23:45:00,2023-01-03 00:00:00,2023-01-02,24,144.5612,144.5612,144.5612
2023-01-03 00:45:00,2023-01-03 01:00:00,2023-01-03,1,142.4659,142.4659,142.4659
2023-01-03 01:45:00,2023-01-03 02:00:00,2023-01-03,2,143.26,143.26,143.26
2023-01-03 02:45:00,2023-01-03 03:00:00,2023-01-03,3,143.32,143.32,143.32
2023-01-03 03:45:00,2023-01-03 04:00:00,2023-01-03,4,151.07523,151.07523,151.07523
2023-01-03 04:45:00,2023-01-03 05:00:00,2023-01-03,5,165.8812,165.8812,165.8812
2023-01-03 05:45:00,2023-01-03 06:00:00,2023-01-03,6,201.4712,201.4712,201.4712
2023-01-03 06:45:00,2023-01-03 07:00:00,2023-01-03,7,242.2088,242.2088,242.2088
2023-01-03 07:45:00,2023-01-03 08:00:00,2023-01-03,8,150.36171,150.36171,150.36171
2023-01-03 08:45:00,2023-01-03 09:00:00,2023-01-03,9,125.0,125.0,125.0
2023-01-03 09:45:00,2023-01-03 10:00:00,2023-01-03,10,140.0,140.0,140.0
2023-01-03 10:45:00,2023-01-03 11:00:00,2023-01-03,11,153.13889,131.70107,131.70107
2023-01-03 11:45:00,2023-01-03 12:00:00,2023-01-03,12,136.82578,129.1251,130.1276
2023-01-03 12:45:00,2023-01-03 13:00:00,2023-01-03,13,137.22574,131.09773,129.99747
2023-01-03 13:45:00,2023-01-03 14:00:00,2023-01-03,14,136.03821,129.68425,129.09158
2023-01-03 14:45:00,2023-01-03 15:00:00,2023-01-03,15,168.15993,147.83725,170.49438
2023-01-03 15:45:00,2023-01-03 16:00:00,2023-01-03,16,202.72932,203.21526,201.08159
2023-01-03 16:45:00,2023-01-03 17:00:00,2023-01-03,17,260.0,260.0,260.0
2023-01-03 17:45:00,2023-01-03 18:00:00,2023-01-03,18,244.41277,244.97873,247.64682
2023-01-03 18:45:00,2023-01-03 19:00:00,2023-01-03,19,195.09631,202.86046,201.30911
2023-01-03 19:45:00,2023-01-03 20:00:00,2023-01-03,20,191.69534,192.02647,193.63481
2023-01-03 20:45:00,2023-01-03 21:00:00,2023-01-03,21,159.5548,204.30872,156.03375
2023-01-03 21:45:00,2023-01-03 22:00:00,2023-01-03,22,168.67934,207.07256,175.10721
2023-01-03 22:45:00,2023-01-03 23:00:00,2023-01-03,23,170.29951,177.73721,179.33096
2023-01-04 00:45:00,2023-01-04 01:00:00,2023-01-04,1,211.27293,216.03574,219.05493
2023-01-04 01:45:00,2023-01-04 02:00:00,2023-01-04,2,186.51254,193.98238,197.08858
2023-01-04 02:45:00,2023-01-04 03:00:00,2023-01-04,3,176.36742,180.05565,182.42667
2023-01-04 03:45:00,2023-01-04 04:00:00,2023-01-04,4,173.68259,175.29968,176.37775
2023-01-04 04:45:00,2023-01-04 05:00:00,2023-01-04,5,187.74,187.74,187.74
2023-01-04 05:45:00,2023-01-04 06:00:00,2023-01-04,6,224.9988,224.9988,224.9988
