Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP
2023-01-04 06:45:00,2023-01-04 07:00:00,2023-01-04,7,217.38425,246.7649,220.4347
2023-01-04 07:45:00,2023-01-04 08:00:00,2023-01-04,8,201.72897,201.729,201.7291
2023-01-04 08:45:00,2023-01-04 09:00:00,2023-01-04,9,186.59755,186.59764,186.59781
2023-01-04 09:45:00,2023-01-04 10:00:00,2023-01-04,10,166.08392,167.14465,169.34192
2023-01-04 10:45:00,2023-01-04 11:00:00,2023-01-04,11,149.99767,149.99799,149.99867
2023-01-04 11:45:00,2023-01-04 12:00:00,2023-01-04,12,141.82999,141.8286,141.83022
2023-01-04 12:45:00,2023-01-04 13:00:00,2023-01-04,13,164.37285,136.54758,169.08176
2023-01-04 13:45:00,2023-01-04 14:00:00,2023-01-04,14,163.94826,136.15625,169.36655
2023-01-04 14:45:00,2023-01-04 15:00:00,2023-01-04,15,149.9964,149.9964,149.9964
2023-01-04 15:45:00,2023-01-04 16:00:00,2023-01-04,16,190.06696,190.06696,190.06696
2023-01-04 16:45:00,2023-01-04 17:00:00,2023-01-04,17,244.0,244.0,244.0
2023-01-04 17:45:00,2023-01-04 18:00:00,2023-01-04,18,215.8624,247.24083,215.86716
2023-01-04 18:45:00,2023-01-04 19:00:00,2023-01-04,19,167.82158,211.55205,169.66803
2023-01-04 19:45:00,2023-01-04 20:00:00,2023-01-04,20,156.46507,212.51723,156.40286
2023-01-04 20:45:00,2023-01-04 21:00:00,2023-01-04,21,153.3117,195.6434,153.89494
2023-01-04 21:45:00,2023-01-04 22:00:00,2023-01-04,22,158.54085,173.78584,159.46085
2023-01-04 22:45:00,2023-01-04 23:00:00,2023-01-04,23,157.41156,157.68465,157.4183
2023-01-04 23:45:00,2023-01-05 00:00:00,2023-01-04,24,145.10548,145.10548,145.10548
2023-01-05 00:45:00,2023-01-05 01:00:00,2023-01-05,1,135.21046,135.48985,134.03702
2023-01-05 01:45:00,2023-01-05 02:00:00,2023-01-05,2,137.74074,137.74074,137.74074
2023-01-05 02:45:00,2023-01-05 03:00:00,2023-01-05,3,140.0,140.0,140.0
2023-01-05 03:45:00,2023-01-05 04:00:00,2023-01-05,4,137.74074,137.74074,137.74074
2023-01-05 04:45:00,2023-01-05 05:00:00,2023-01-05,5,164.62956,164.62956,164.62956
2023-01-05 05:45:00,2023-01-05 06:00:00,2023-01-05,6,195.0,195.0,195.0
2023-01-05 06:45:00,2023-01-05 07:00:00,2023-01-05,7,212.56207,215.87364,216.25146
2023-01-05 07:45:00,2023-01-05 08:00:00,2023-01-05,8,160.77216,159.63985,160.92203
2023-01-05 08:45:00,2023-01-05 09:00:00,2023-01-05,9,137.64978,135.77274,137.10942
2023-01-05 09:45:00,2023-01-05 10:00:00,2023-01-05,10,148.93675,145.55496,146.94746
2023-01-05 10:45:00,2023-01-05 11:00:00,2023-01-05,11,141.98676,137.20885,138.86443
2023-01-05 11:45:00,2023-01-05 12:00:00,2023-01-05,12,141.1712,141.1712,141.1712
2023-01-05 12:45:00,2023-01-05 13:00:00,2023-01-05,13,146.17845,138.4246,140.975
2023-01-05 13:45:00,2023-01-05 14:00:00,2023-01-05,14,142.59062,133.78394,136.30219
2023-01-05 14:45:00,2023-01-05 15:00:00,2023-01-05,15,143.73558,136.07104,138.49985
2023-01-05 15:45:00,2023-01-05 16:00:00,2023-01-05,16,204.02971,199.6404,201.34152
2023-01-05 16:45:00,2023-01-05 17:00:00,2023-01-05,17,198.56708,199.98274,200.31583
2023-01-05 17:45:00,2023-01-05 18:00:00,2023-01-05,18,174.82861,179.89774,176.56181
2023-01-05 18:45:00,2023-01-05 19:00:00,2023-01-05,19,141.35167,142.70226,141.54462
2023-01-05 19:45:00,2023-01-05 20:00:00,2023-01-05,20,133.07571,134.5134,133.7457
2023-01-05 20:45:00,2023-01-05 21:00:00,2023-01-05,21,134.54892,136.72499,135.55217
2023-01-05 21:45:00,2023-01-05 22:00:00,2023-01-05,22,133.80803,135.43198,134.886
2023-01-05 22:45:00,2023-01-05 23:00:00,2023-01-05,23,123.73194,123.93749,123.86041
2023-01-05 23:45:00,2023-01-06 00:00:00,2023-01-05,24,119.03115,119.40177,119.14234
2023-01-06 00:45:00,2023-01-06 01:00:00,2023-01-06,1,125.92622,126.63256,127.12962
2023-01-06 01:45:00,2023-01-06 02:00:00,2023-01-06,2,121.81294,122.77528,123.09185
2023-01-06 02:45:00,2023-01-06 03:00:00,2023-01-06,3,133.60493,134.06145,134.67014
2023-01-06 03:45:00,2023-01-06 04:00:00,2023-01-06,4,150.0,150.0,150.0
2023-01-06 04:45:00,2023-01-06 05:00:00,2023-01-06,5,153.09161,154.47728,154.84361
2023-01-06 05:45:00,2023-01-06 06:00:00,2023-01-06,6,174.0012,174.0012,174.0012
2023-01-06 06:45:00,2023-01-06 07:00:00,2023-01-06,7,176.92308,181.12442,180.63893
2023-01-06 07:45:00,2023-01-06 08:00:00,2023-01-06,8,137.5511,136.30779,137.02232
2023-01-06 08:45:00,2023-01-06 09:00:00,2023-01-06,9,103.81422,100.83075,101.11844
2023-01-06 09:45:00,2023-01-06 10:00:00,2023-01-06,10,89.9988,89.9988,89.9988
2023-01-06 10:45:00,2023-01-06 11:00:00,2023-01-06,11,89.86981,84.21398,85.13554
2023-01-06 11:45:00,2023-01-06 12:00:00,2023-01-06,12,85.61238,79.75546,80.80318
2023-01-06 12:45:00,2023-01-06 13:00:00,2023-01-06,13,79.60482,73.85399,74.95961
2023-01-06 13:45:00,2023-01-06 14:00:00,2023-01-06,14,64.08616,58.58744,59.84465
2023-01-06 14:45:00,2023-01-06 15:00:00,2023-01-06,15,113.54209,94.64543,108.20028
2023-01-06 15:45:00,2023-01-06 16:00:00,2023-01-06,16,186.41937,186.38052,185.6037
2023-01-06 16:45:00,2023-01-06 17:00:00,2023-01-06,17,239.3924,245.10701,241.5245
2023-01-06 17:45:00,2023-01-06 18:00:00,2023-01-06,18,179.82068,185.74078,182.3173
2023-01-06 18:45:00,2023-01-06 19:00:00,2023-01-06,19,122.04953,177.82368,125.03182
2023-01-06 19:45:00,2023-01-06 20:00:00,2023-01-06,20,115.12131,173.80782,118.39908
2023-01-06 20:45:00,2023-01-06 21:00:00,2023-01-06,21,109.94113,167.83162,112.31769
2023-01-06 21:45:00,2023-01-06 22:00:00,2023-01-06,22,103.30759,165.37012,105.03895
2023-01-06 22:45:00,2023-01-06 23:00:00,2023-01-06,23,111.22328,144.62396,111.6763
2023-01-06 23:45:00,2023-01-07 00:00:00,2023-01-06,24,116.95149,125.47011,117.98315
2023-01-07 00:45:00,2023-01-07 01:00:00,2023-01-07,1,136.09583,138.78165,137.37479
2023-01-07 01:45:00,2023-01-07 02:00:00,2023-01-07,2,131.11034,133.03342,131.87411
2023-01-07 02:45:00,2023-01-07 03:00:00,2023-01-07,3,130.21555,131.75575,130.62086
2023-01-07 03:45:00,2023-01-07 04:00:00,2023-01-07,4,131.12794,134.38934,132.53938
2023-01-07 04:45:00,2023-01-07 05:00:00,2023-01-07,5,140.35036,143.19164,141.7124
2023-01-07 05:45:00,2023-01-07 06:00:00,2023-01-07,6,142.55196,147.9097,145.47163
2023-01-07 06:45:00,2023-01-07 07:00:00,2023-01-07,7,148.84975,153.81453,151.7002
2023-01-07 07:45:00,2023-01-07 08:00:00,2023-01-07,8,119.20217,117.38555,118.09269
2023-01-07 08:45:00,2023-01-07 09:00:00,2023-01-07,9,97.64211,94.98836,95.78349
2023-01-07 09:45:00,2023-01-07 10:00:00,2023-01-07,10,104.56136,99.55218,100.74133
2023-01-07 10:45:00,2023-01-07 11:00:00,2023-01-07,11,110.20705,103.42372,104.98741
2023-01-07 11:45:00,2023-01-07 12:00:00,2023-01-07,12,94.66418,87.71091,89.01876
2023-01-07 12:45:00,2023-01-07 13:00:00,2023-01-07,13,94.91195,82.25823,90.57123
2023-01-07 13:45:00,2023-01-07 14:00:00,2023-01-07,14,96.77622,89.83337,90.65187
2023-01-07 14:45:00,2023-01-07 15:00:00,2023-01-07,15,113.94752,107.10657,107.89328
2023-01-07 15:45:00,2023-01-07 16:00:00,2023-01-07,16,174.6044,169.5532,169.57098
2023-01-07 16:45:00,2023-01-07 17:00:00,2023-01-07,17,161.61667,159.95,158.76666
2023-01-07 17:45:00,2023-01-07 18:00:00,2023-01-07,18,167.3536,168.47302,165.8144
2023-01-07 18:45:00,2023-01-07 19:00:00,2023-01-07,19,127.80017,149.76015,127.48432
2023-01-07 19:45:00,2023-01-07 20:00:00,2023-01-07,20,124.97442,141.36217,125.27204
2023-01-07 20:45:00,2023-01-07 21:00:00,2023-01-07,21,111.01682,136.96739,111.55461
2023-01-07 21:45:00,2023-01-07 22:00:00,2023-01-07,22,106.72439,134.96661,106.91922
2023-01-07 22:45:00,2023-01-07 23:00:00,2023-01-07,23,109.36187,134.47905,110.3928
2023-01-07 23:45:00,2023-01-08 00:00:00,2023-01-07,24,92.63617,125.95866,93.60838
2023-01-08 00:45:00,2023-01-08 01:00:00,2023-01-08,1,122.06756,123.63952,121.31961
2023-01-08 01:45:00,2023-01-08 02:00:00,2023-01-08,2,108.02481,129.29942,108.42839
2023-01-08 02:45:00,2023-01-08 03:00:00,2023-01-08,3,112.40138,129.77956,112.69798
2023-01-08 03:45:00,2023-01-08 04:00:00,2023-01-08,4,120.63275,131.13208,120.63713
2023-01-08 04:45:00,2023-01-08 05:00:00,2023-01-08,5,120.54259,138.04164,120.83279
2023-01-08 05:45:00,2023-01-08 06:00:00,2023-01-08,6,119.76617,137.87968,119.88682
2023-01-08 06:45:00,2023-01-08 07:00:00,2023-01-08,7,135.2232,137.64645,134.81464
2023-01-08 07:45:00,2023-01-08 08:00:00,2023-01-08,8,127.9979,126.24217,125.39051
2023-01-08 08:45:00,2023-01-08 09:00:00,2023-01-08,9,113.96225,109.33579,110.10496
2023-01-08 09:45:00,2023-01-08 10:00:00,2023-01-08,10,103.30836,97.90696,98.84678
2023-01-08 10:45:00,2023-01-08 11:00:00,2023-01-08,11,69.25342,64.42466,65.09589
2023-01-08 11:45:00,2023-01-08 12:00:00,2023-01-08,12,53.22739,49.8254,50.1001
2023-01-08 12:45:00,2023-01-08 13:00:00,2023-01-08,13,31.0476,28.52058,28.88987
2023-01-08 13:45:00,2023-01-08 14:00:00,2023-01-08,14,31.66202,28.98509,29.44636
2023-01-08 14:45:00,2023-01-08 15:00:00,2023-01-08,15,104.14455,97.05178,98.39786
2023-01-08 15:45:00,2023-01-08 16:00:00,2023-01-08,16,173.97205,170.83131,169.33232
2023-01-08 16:45:00,2023-01-08 17:00:00,2023-01-08,17,187.30025,188.021,184.06656
2023-01-08 17:45:00,2023-01-08 18:00:00,2023-01-08,18,173.49413,177.8017,171.97273
2023-01-08 18:45:00,2023-01-08 19:00:00,2023-01-08,19,146.12253,156.26932,145.56187
2023-01-08 19:45:00,2023-01-08 20:00:00,2023-01-08,20,152.12082,154.82127,150.74661
2023-01-08 20:45:00,2023-01-08 21:00:00,2023-01-08,21,152.24919,154.86647,151.0363
2023-01-08 21:45:00,2023-01-08 22:00:00,2023-01-08,22,130.84215,132.23337,129.36911
2023-01-08 22:45:00,2023-01-08 23:00:00,2023-01-08,23,121.75855,123.57319,120.9591
2023-01-08 23:45:00,2023-01-09 00:00:00,2023-01-08,24,101.57397,110.77146,102.11373
2023-01-09 00:45:00,2023-01-09 01:00:00,2023-01-09,1,116.785,118.92739,116.71196
2023-01-09 01:45:00,2023-01-09 02:00:00,2023-01-09,2,121.19413,122.06016,120.3281
2023-01-09 02:45:00,2023-01-09 03:00:00,2023-01-09,3,124.95059,125.35079,123.51764
2023-01-09 03:45:00,2023-01-09 04:00:00,2023-01-09,4,126.11297,126.68651,124.7052
2023-01-09 04:45:00,2023-01-09 05:00:00,2023-01-09,5,142.61954,143.566,141.15549
2023-01-09 05:45:00,2023-01-09 06:00:00,2023-01-09,6,152.80794,156.36646,152.55147
2023-01-09 06:45:00,2023-01-09 07:00:00,2023-01-09,7,173.33823,175.85721,172.1784
2023-01-09 07:45:00,2023-01-09 08:00:00,2023-01-09,8,153.44807,151.07736,152.21352
2023-01-09 08:45:00,2023-01-09 09:00:00,2023-01-09,9,170.69739,167.03612,169.44424
2023-01-09 09:45:00,2023-01-09 10:00:00,2023-01-09,10,151.29881,146.15935,147.91992
2023-01-09 10:45:00,2023-01-09 11:00:00,2023-01-09,11,147.73584,141.6098,145.78616
2023-01-09 11:45:00,2023-01-09 12:00:00,2023-01-09,12,147.90375,142.20663,143.53731
2023-01-09 12:45:00,2023-01-09 13:00:00,2023-01-09,13,136.59904,131.50662,134.58665
2023-01-09 13:45:00,2023-01-09 14:00:00,2023-01-09,14,155.02684,151.3213,153.04504
2023-01-09 14:45:00,2023-01-09 15:00:00,2023-01-09,15,170.03389,168.05405,168.86874
2023-01-09 15:45:00,2023-01-09 16:00:00,2023-01-09,16,203.73048,200.13599,199.48436
2023-01-09 16:45:00,2023-01-09 17:00:00,2023-01-09,17,196.66322,199.51791,195.8151
2023-01-09 17:45:00,2023-01-09 18:00:00,2023-01-09,18,177.86401,179.2467,175.45361
2023-01-09 18:45:00,2023-01-09 19:00:00,2023-01-09,19,175.77574,176.27182,173.22188
2023-01-09 19:45:00,2023-01-09 20:00:00,2023-01-09,20,172.55841,175.93892,172.03369
2023-01-09 20:45:00,2023-01-09 21:00:00,2023-01-09,21,153.436,156.07562,153.098
2023-01-09 21:45:00,2023-01-09 22:00:00,2023-01-09,22,134.53502,136.64857,134.09822
2023-01-09 22:45:00,2023-01-09 23:00:00,2023-01-09,23,126.67141,128.23003,125.08636
2023-01-09 23:45:00,2023-01-10 00:00:00,2023-01-09,24,117.12545,118.833,116.06433
2023-01-10 00:45:00,2023-01-10 01:00:00,2023-01-10,1,118.28587,119.25724,117.04399
2023-01-10 01:45:00,2023-01-10 02:00:00,2023-01-10,2,118.6201,119.33364,117.26683
2023-01-10 02:45:00,2023-01-10 03:00:00,2023-01-10,3,115.6024,117.0942,114.66401
2023-01-10 03:45:00,2023-01-10 04:00:00,2023-01-10,4,113.94232,115.25827,112.98203
2023-01-10 04:45:00,2023-01-10 05:00:00,2023-01-10,5,125.64448,127.98683,125.15759
2023-01-10 05:45:00,2023-01-10 06:00:00,2023-01-10,6,147.14146,151.02219,146.93967
2023-01-10 06:45:00,2023-01-10 07:00:00,2023-01-10,7,161.57312,172.52934,161.55986
2023-01-10 07:45:00,2023-01-10 08:00:00,2023-01-10,8,140.73744,141.5203,139.52621
2023-01-10 08:45:00,2023-01-10 09:00:00,2023-01-10,9,123.17729,122.84166,121.79603
2023-01-10 09:45:00,2023-01-10 10:00:00,2023-01-10,10,118.33388,116.4425,115.73017
2023-01-10 10:45:00,2023-01-10 11:00:00,2023-01-10,11,98.082,95.94824,95.04393
2023-01-10 11:45:00,2023-01-10 12:00:00,2023-01-10,12,91.21055,89.14512,88.37769
2023-01-10 12:45:00,2023-01-10 13:00:00,2023-01-10,13,96.4514,92.29137,92.3803
2023-01-10 13:45:00,2023-01-10 14:00:00,2023-01-10,14,96.21399,92.60943,92.15391
2023-01-10 14:45:00,2023-01-10 15:00:00,2023-01-10,15,88.87859,87.38032,85.46587
2023-01-10 15:45:00,2023-01-10 16:00:00,2023-01-10,16,150.42867,151.98454,146.74535
2023-01-10 16:45:00,2023-01-10 17:00:00,2023-01-10,17,180.46967,179.52805,176.62788
2023-01-10 17:45:00,2023-01-10 18:00:00,2023-01-10,18,180.84857,178.73386,176.07164
2023-01-10 18:45:00,2023-01-10 19:00:00,2023-01-10,19,166.0182,166.1044,165.69687
2023-01-10 19:45:00,2023-01-10 20:00:00,2023-01-10,20,164.92393,161.82458,163.53777
2023-01-10 20:45:00,2023-01-10 21:00:00,2023-01-10,21,150.14513,147.22562,146.10893
2023-01-10 21:45:00,2023-01-10 22:00:00,2023-01-10,22,136.1184,135.652,133.98425
2023-01-10 22:45:00,2023-01-10 23:00:00,2023-01-10,23,127.60628,127.44761,125.49075
2023-01-10 23:45:00,2023-01-11 00:00:00,2023-01-10,24,123.14102,123.0646,121.26888
2023-01-11 00:45:00,2023-01-11 01:00:00,2023-01-11,1,130.6535,129.21863,128.07878
2023-01-11 01:45:00,2023-01-11 02:00:00,2023-01-11,2,127.73837,125.95878,124.70259
2023-01-11 02:45:00,2023-01-11 03:00:00,2023-01-11,3,128.75671,127.48778,126.23207
2023-01-11 03:45:00,2023-01-11 04:00:00,2023-01-11,4,132.6218,132.0481,130.39526
2023-01-11 04:45:00,2023-01-11 05:00:00,2023-01-11,5,147.21681,147.09505,144.96413
2023-01-11 05:45:00,2023-01-11 06:00:00,2023-01-11,6,165.55731,167.2134,162.83167
2023-01-11 06:45:00,2023-01-11 07:00:00,2023-01-11,7,201.48804,204.42345,200.0731
2023-01-11 07:45:00,2023-01-11 08:00:00,2023-01-11,8,174.07774,171.32118,170.65456
2023-01-11 08:45:00,2023-01-11 09:00:00,2023-01-11,9,141.23679,134.34547,135.46788
2023-01-11 09:45:00,2023-01-11 10:00:00,2023-01-11,10,171.10172,164.76584,168.86897
2023-01-11 10:45:00,2023-01-11 11:00:00,2023-01-11,11,133.13342,127.63576,127.49997
2023-01-11 11:45:00,2023-01-11 12:00:00,2023-01-11,12,150.73425,151.04176,153.96307
2023-01-11 12:45:00,2023-01-11 13:00:00,2023-01-11,13,140.92732,134.5901,141.98865
2023-01-11 13:45:00,2023-01-11 14:00:00,2023-01-11,14,150.20341,141.71037,145.7457
2023-01-11 14:45:00,2023-01-11 15:00:00,2023-01-11,15,154.59773,146.78357,147.62103
2023-01-11 15:45:00,2023-01-11 16:00:00,2023-01-11,16,217.3767,211.68457,209.89177
2023-01-11 16:45:00,2023-01-11 17:00:00,2023-01-11,17,219.08382,218.35101,214.93892
2023-01-11 17:45:00,2023-01-11 18:00:00,2023-01-11,18,213.93483,217.73581,217.88545
2023-01-11 18:45:00,2023-01-11 19:00:00,2023-01-11,19,170.09781,175.175,172.76872
2023-01-11 19:45:00,2023-01-11 20:00:00,2023-01-11,20,152.3079,158.08208,152.68225
2023-01-11 20:45:00,2023-01-11 21:00:00,2023-01-11,21,139.69666,150.34702,140.40138
2023-01-11 21:45:00,2023-01-11 22:00:00,2023-01-11,22,128.34888,138.83472,130.41267
2023-01-11 22:45:00,2023-01-11 23:00:00,2023-01-11,23,128.60287,133.43706,129.37907
2023-01-11 23:45:00,2023-01-12 00:00:00,2023-01-11,24,120.77456,124.39971,120.97808
2023-01-12 00:45:00,2023-01-12 01:00:00,2023-01-12,1,136.27103,136.27103,136.27103
2023-01-12 01:45:00,2023-01-12 02:00:00,2023-01-12,2,138.23448,136.61713,135.69507
2023-01-12 02:45:00,2023-01-12 03:00:00,2023-01-12,3,135.38339,133.96576,133.04848
2023-01-12 03:45:00,2023-01-12 04:00:00,2023-01-12,4,148.61682,144.89421,145.01527
2023-01-12 04:45:00,2023-01-12 05:00:00,2023-01-12,5,160.71347,157.57224,157.0295
2023-01-12 05:45:00,2023-01-12 06:00:00,2023-01-12,6,184.0,184.0,184.0
2023-01-12 06:45:00,2023-01-12 07:00:00,2023-01-12,7,188.706,188.706,188.706
2023-01-12 07:45:00,2023-01-12 08:00:00,2023-01-12,8,147.22054,142.53777,143.47432
2023-01-12 08:45:00,2023-01-12 09:00:00,2023-01-12,9,111.44231,102.65155,104.65451
2023-01-12 09:45:00,2023-01-12 10:00:00,2023-01-12,10,102.82649,95.74995,96.78151
2023-01-12 10:45:00,2023-01-12 11:00:00,2023-01-12,11,85.29146,80.18068,80.70553
2023-01-12 11:45:00,2023-01-12 12:00:00,2023-01-12,12,69.50257,65.03974,65.56437
2023-01-12 12:45:00,2023-01-12 13:00:00,2023-01-12,13,42.66229,39.10957,39.54252
2023-01-12 13:45:00,2023-01-12 14:00:00,2023-01-12,14,46.0012,46.0012,46.0012
2023-01-12 14:45:00,2023-01-12 15:00:00,2023-01-12,15,108.47885,101.95257,101.60158
